ID программы;Форма обучения;Проходной балл бюджет;Проходной балл платное;Мест бюджет;Мест платное;Стоимость;Стоимость, за год;Когда;Срок обучения;График занятий
705919;Очная;;;;;29 990 р.;;24 авг;4 дня, 52 ак. ч;-
720560/1;Очно-заочная;-;;-;;;120 000 р.;1 сен;54 месяца;
711555;Заочная;;;;;138 000 р.;;20 авг, 20 авг, 4 сен, 21 сен, 5 окт, 20 окт, 5 ноя, 20 ноя, 4 дек, 21 дек;18 месяцев, 1536 ак. ч;от 20 до 40 часов в неделю
737261;Дистанционная;;;;;1 500 р.;;в любое время;2 ак. ч;-
744326;Дистанционная;;;;;8 000 р.;;14 сен, 30 сен;12 дней, 72 ак. ч;-
744326;Дистанционная;;;;;10 000 р.;;-;18 дней, 108 ак. ч;-
719452;Дистанционная;;;;;38 900 р.;;в любое время;40 ак. ч;-
719452;Онлайн-трансляция;;;;;55 500 р.;;5 окт, 5 окт, 16 ноя, 14 дек;;5 дней онлайн-трансляции c 09.00 до 16.15
719452;Очная;;;;;55 500 р.;;5 окт, 5 окт, 16 ноя, 14 дек;5 дней, 40 ак. ч;5 дней очного обучения c 09.00 до 16.15
745028;Дистанционная;;;;;1 000 р.;;в любое время;1 день, 8 ак. ч;-
744091;Дистанционная;;;;;1 300 р.;;по мере набора;11 дней, 16 ак. ч;-
739707;Смешанный формат;;;;;230 000 р.;;14 сен;4 месяца;-
